Timestamp,Counter,Random,Sawtooth,Sinusoid,Square,Triangle
2026-08-11 17:09:51,4,-0.292965,0.4,-1.902113,-2.0,-1.6
2026-08-11 17:09:53,6,-0.9408173,1.2,-1.989044,2.0,-1.866667
2026-08-11 17:09:55,8,0.1674688,-2.0,-1.732051,2.0,-1.333333
2026-08-11 17:09:57,10,-0.5721148,-1.2,-1.175571,-2.0,-0.8000001
2026-08-11 17:10:00,13,1.659191,0.0,0.0,-2.0,0.0
2026-08-11 17:10:02,15,-0.1989411,0.8,0.8134732,2.0,0.5333333
2026-08-11 17:10:04,17,-1.213718,1.6,1.48629,-2.0,1.066667
2026-08-11 17:10:06,19,-1.976235,-1.6,1.902113,-2.0,1.6
2026-08-11 17:10:08,21,1.284182,-0.8,1.989044,-2.0,1.866667
2026-08-11 17:10:10,23,-1.515801,0.0,1.732051,2.0,1.333333
2026-08-11 17:10:12,25,1.744616,0.8,1.175571,2.0,0.8
2026-08-11 17:10:14,27,1.073831,1.6,0.4158234,-2.0,0.2666667
2026-08-11 17:10:16,29,0.334247,-1.6,-0.4158234,2.0,-0.2666667
2026-08-11 17:10:18,0,1.442533,-0.8,-1.17557,2.0,-0.7999999
2026-08-11 17:10:20,2,0.7946808,0.0,-1.732051,2.0,-1.333333
2026-08-11 17:10:22,4,0.0321645,0.8,-1.989044,-2.0,-1.866667
2026-08-11 17:10:24,6,-0.707419,1.6,-1.902113,-2.0,-1.6
2026-08-11 17:10:26,8,-0.2774286,-1.6,-1.48629,2.0,-1.066667
2026-08-11 17:10:28,10,0.8537902,-0.8,-0.8134734,-2.0,-0.5333334
2026-08-11 17:10:30,12,0.1830052,0.0,0.0,-2.0,0.0
2026-08-11 17:10:32,14,-0.5565783,0.8,0.8134732,-2.0,0.5333333
2026-08-11 17:10:34,16,-1.319095,1.6,1.48629,2.0,1.066667
2026-08-11 17:10:36,18,-0.09614452,-1.6,1.902113,2.0,1.6
2026-08-11 17:10:38,20,-0.8586609,-0.8,1.989044,-2.0,1.866667
2026-08-11 17:10:40,22,-1.598244,0.0,1.732051,-2.0,1.333333
2026-08-11 17:10:42,24,1.730971,0.8,1.175571,2.0,0.8
2026-08-11 17:10:44,26,-1.137811,1.6,0.4158234,2.0,0.2666667
2026-08-11 17:10:46,28,1.824479,-1.6,-0.4158234,-2.0,-0.2666667
2026-08-11 17:10:48,30,1.084896,-0.8,-1.17557,2.0,-0.7999999
2026-08-11 17:10:50,1,0.3223795,0.0,-1.732051,2.0,-1.333333
